market,context_filter,context_value,sample_count,settled_count,hit_count,hit_rate,avg_close_odds,roi_proxy_flat_1u,max_fail_streak,max_drawdown_proxy,price_missing_count,settlement_uncertain_count,confidence_flag,risk_flags
ASIAN_HANDICAP,recent_5_points_gap_bucket,AWAY_RECENT_PLUS_2_5,7770,7760,3627,0.467397,1.94515,-0.025305,2,-198.195,14,10,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
ASIAN_HANDICAP,recent_5_points_gap_bucket,AWAY_RECENT_PLUS_6,3844,3824,1757,0.459467,1.944629,-0.023567,2,-91.82,20,20,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
ASIAN_HANDICAP,recent_5_points_gap_bucket,BALANCED_-1_1,8522,8518,3976,0.466776,1.945939,-0.024708,2,-212.465,6,4,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
ASIAN_HANDICAP,recent_5_points_gap_bucket,HOME_RECENT_PLUS_2_5,7296,7286,3430,0.470766,1.9456,-0.02455,2,-180.68,10,10,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
ASIAN_HANDICAP,recent_5_points_gap_bucket,HOME_RECENT_PLUS_6,3464,3450,1599,0.463478,1.945478,-0.023528,2,-82.895,14,14,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
ASIAN_HANDICAP,season,2020/21,6328,6328,2928,0.462705,1.947458,-0.022222,2,-142.265,2,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
ASIAN_HANDICAP,season,2021/22,6248,6248,2899,0.463988,1.943546,-0.024661,2,-155.785,4,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
ASIAN_HANDICAP,season,2022/23,6172,6114,2871,0.469578,1.945011,-0.026564,2,-164.27,58,58,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
ASIAN_HANDICAP,season,2023/24,6112,6112,2868,0.469241,1.947044,-0.023613,2,-146.13,0,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
ASIAN_HANDICAP,season,2024/25,6036,6036,2823,0.467694,1.944127,-0.02577,2,-156.695,0,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,early_season_status,EARLY_SEASON_EXCLUDED_VIEW,13285,13285,7145,0.537825,1.846742,-0.043431,11,-589.97,30,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,early_season_status,EARLY_SEASON_INSUFFICIENT,2163,2163,1131,0.522885,1.840796,-0.069764,13,-154.9,1,0,HIGH_CONFIDENCE,EARLY_SEASON_NOT_MAIN_CANDIDATE
FT_OVER25,league_code,B1,1542,1542,863,0.559663,1.720733,-0.05559,10,-94.04,0,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,league_code,D1,1530,1530,918,0.6,1.665739,-0.029673,6,-53.21,0,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,league_code,E0,1900,1900,1056,0.555789,1.779168,-0.035158,9,-76.52,0,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,league_code,F1,1752,1752,943,0.538242,1.883054,-0.012974,11,-48.49,0,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,league_code,I1,1900,1900,970,0.510526,1.900116,-0.057641,8,-122.64,1,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,league_code,N1,1530,1530,888,0.580392,1.658731,-0.059666,8,-91.23,1,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,league_code,P1,1530,1530,750,0.490196,1.998497,-0.05732,7,-99.37,0,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,league_code,SP1,1900,1900,877,0.461579,2.142426,-0.057716,12,-114.32,0,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,league_code,T1,1864,1864,1011,0.542382,1.800572,-0.058752,9,-112.72,29,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,odds_over25_move_direction,LONGER_CLOSE,6606,6606,3277,0.496064,1.98087,-0.047867,13,-331.27,0,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,odds_over25_move_direction,MOVE_MISSING,52,52,44,0.846154,1.699524,0.148095,4,-4.0,31,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_CANDIDATE|POSITIVE_ROI_RESEARCH_ONLY
FT_OVER25,odds_over25_move_direction,SHORTER_CLOSE,5923,5923,3431,0.579267,1.701543,-0.041102,10,-251.95,0,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,odds_over25_move_direction,STABLE,2867,2867,1524,0.531566,1.834252,-0.059281,9,-174.22,0,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,over25_close_implied_prob_bucket,0_40_0_49,3895,3895,1660,0.426187,2.191528,-0.068555,11,-272.81,0,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,over25_close_implied_prob_bucket,0_50_0_59,5796,5796,3016,0.520359,1.833637,-0.048734,12,-289.91,0,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,over25_close_implied_prob_bucket,GE_0_60,5200,5200,3400,0.653846,1.501885,-0.024648,8,-141.36,0,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,over25_close_implied_prob_bucket,LT_0_40,525,525,170,0.32381,2.82819,-0.091162,15,-64.41,0,0,MEDIUM_RESEARCH_ONLY,MEDIUM_RESEARCH_ONLY
FT_OVER25,over25_close_implied_prob_bucket,PROB_MISSING,32,32,30,0.9375,0.0,-1.0,1,-1.0,31,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_CANDIDATE
FT_OVER25,recent_5_points_gap_bucket,AWAY_RECENT_PLUS_2_5,3885,3885,2053,0.528443,1.898912,-0.027543,11,-110.64,6,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,recent_5_points_gap_bucket,AWAY_RECENT_PLUS_6,1922,1922,1024,0.532778,1.800764,-0.078086,9,-155.43,10,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,recent_5_points_gap_bucket,BALANCED_-1_1,4261,4261,2218,0.520535,1.889112,-0.049631,11,-230.45,2,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,recent_5_points_gap_bucket,HOME_RECENT_PLUS_2_5,3648,3648,1966,0.538925,1.843612,-0.042355,11,-162.41,5,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,recent_5_points_gap_bucket,HOME_RECENT_PLUS_6,1732,1732,1015,0.586028,1.674832,-0.060725,7,-116.9,8,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,season,2020/21,3164,3164,1661,0.524968,1.851686,-0.058533,12,-195.53,2,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,season,2021/22,3124,3124,1648,0.527529,1.852366,-0.052542,9,-184.04,0,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,season,2022/23,3086,3086,1670,0.541154,1.863814,-0.030886,8,-124.53,29,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,season,2023/24,3056,3056,1691,0.553338,1.814355,-0.034948,10,-114.25,0,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,season,2024/25,3018,3018,1606,0.53214,1.846981,-0.05834,11,-177.68,0,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,strength_gap_bucket,AWAY_PLUS_10,3087,3087,1667,0.540006,1.824425,-0.05014,9,-166.15,9,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,strength_gap_bucket,AWAY_PLUS_4_9,2359,2359,1235,0.523527,1.923588,-0.023206,10,-68.09,7,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,strength_gap_bucket,BALANCED_-3_3,4824,4824,2454,0.508706,1.91657,-0.057868,12,-285.03,2,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,strength_gap_bucket,HOME_PLUS_10,2998,2998,1754,0.585057,1.688537,-0.046667,7,-155.65,10,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
FT_OVER25,strength_gap_bucket,HOME_PLUS_4_9,2180,2180,1166,0.534862,1.851837,-0.045531,12,-133.13,3,0,HIGH_CONFIDENCE,RESEARCH_ONLY_NO_CANDIDATE
