market,league_code,season,close_odds_band,asian_handicap_line_bucket,over25_price_band,home_away_side,sample_size_bucket,sample_count,settled_count,hit_count,hit_rate,avg_close_odds,roi_proxy_flat_1u,max_fail_streak,max_drawdown_proxy,price_missing_count,settlement_uncertain_count,confidence_flag,risk_flags
1X2,B1,2021/22,2_00_2_49,NOT_AH,NOT_FT_OVER25,HOME,LT_100,60,60,21,0.35,2.225667,-0.226833,8,-14.5,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2021/22,2_50_3_49,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,72,72,24,0.333333,2.930833,-0.019861,9,-12.38,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2021/22,2_50_3_49,NOT_AH,NOT_FT_OVER25,DRAW,LT_100,62,62,16,0.258065,3.331452,-0.13871,12,-19.25,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2021/22,2_50_3_49,NOT_AH,NOT_FT_OVER25,HOME,LT_100,58,58,17,0.293103,2.911552,-0.183103,6,-14.27,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2021/22,3_50_4_99,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,53,53,15,0.283019,3.997736,0.119434,7,-7.25,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2021/22,3_50_4_99,NOT_AH,NOT_FT_OVER25,DRAW,100_299,203,203,44,0.216749,3.871281,-0.175468,18,-42.75,0,0,LOW_CONFIDENCE,LOW_CONFIDENCE_RESEARCH_ONLY
1X2,B1,2021/22,3_50_4_99,NOT_AH,NOT_FT_OVER25,HOME,LT_100,37,37,12,0.324324,4.279189,0.339189,13,-13.0,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2021/22,GE_5_00,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,77,77,8,0.103896,7.50974,-0.36039,18,-35.25,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2021/22,GE_5_00,NOT_AH,NOT_FT_OVER25,DRAW,LT_100,41,41,8,0.195122,5.652439,0.067073,12,-14.5,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2021/22,GE_5_00,NOT_AH,NOT_FT_OVER25,HOME,LT_100,25,25,0,0.0,7.03,-1.0,25,-25.0,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2021/22,LT_1_50,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,14,14,14,1.0,1.342857,0.342857,0,0.0,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2021/22,LT_1_50,NOT_AH,NOT_FT_OVER25,HOME,LT_100,45,45,29,0.644444,1.320667,-0.163333,4,-9.43,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2022/23,1_50_1_74,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,21,21,14,0.666667,1.63381,0.094762,4,-4.0,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2022/23,1_50_1_74,NOT_AH,NOT_FT_OVER25,HOME,LT_100,52,52,31,0.596154,1.609808,-0.039615,2,-5.46,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2022/23,1_75_1_99,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,29,29,16,0.551724,1.867586,0.026207,4,-5.29,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2022/23,1_75_1_99,NOT_AH,NOT_FT_OVER25,HOME,LT_100,29,29,15,0.517241,1.843793,-0.04,4,-5.82,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2022/23,2_00_2_49,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,58,58,26,0.448276,2.252241,0.018621,7,-7.2,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2022/23,2_00_2_49,NOT_AH,NOT_FT_OVER25,HOME,LT_100,58,58,25,0.431034,2.18569,-0.070345,10,-13.7,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2022/23,2_50_3_49,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,60,60,18,0.3,2.9755,-0.1175,7,-15.65,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2022/23,2_50_3_49,NOT_AH,NOT_FT_OVER25,DRAW,LT_100,94,94,28,0.297872,3.290426,-0.017021,13,-24.1,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2022/23,2_50_3_49,NOT_AH,NOT_FT_OVER25,HOME,LT_100,67,67,19,0.283582,2.908806,-0.16791,9,-16.15,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2022/23,3_50_4_99,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,61,61,16,0.262295,4.085574,0.056393,6,-6.0,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2022/23,3_50_4_99,NOT_AH,NOT_FT_OVER25,DRAW,100_299,184,184,38,0.206522,3.858696,-0.208913,16,-47.75,0,0,LOW_CONFIDENCE,LOW_CONFIDENCE_RESEARCH_ONLY
1X2,B1,2022/23,3_50_4_99,NOT_AH,NOT_FT_OVER25,HOME,LT_100,42,42,9,0.214286,4.04619,-0.127857,10,-15.0,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2022/23,GE_5_00,NOT_AH,NOT_FT_OVER25,AWAY,LT_100,70,70,9,0.128571,7.378571,-0.15,27,-36.5,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
1X2,B1,2022/23,GE_5_00,NOT_AH,NOT_FT_OVER25,DRAW,LT_100,28,28,2,0.071429,5.714286,-0.625,21,-21.0,0,0,SMALL_SAMPLE,SMALL_SAMPLE_NO_EDGE_CLAIM
